problem,family,dim,method,seed,budget,success,first_feasible,best_f,final_ncv,elapsed_sec
LargeShell500,shell,500,DCAS-DE,6,600,1,49,0.1159760685220184,0.0,0.7117855519991281
LargeShell500,shell,500,DCAS-DE,7,600,1,44,0.0960460358700467,0.0,0.7266576010006247
LargeShell500,shell,500,DCAS-DE,8,600,1,44,0.1110093030740254,0.0,0.8006546220003656
LargeShell500,shell,500,DCAS-DE,9,600,1,50,0.1374583229648195,0.0,0.5789023729994369
LargeShell500,shell,500,DCAS-PSO,0,600,1,41,0.1578439970813687,0.0,0.5799410300005547
LargeShell500,shell,500,DCAS-PSO,1,600,1,42,0.1606341425835728,0.0,0.5470972710008937
LargeShell500,shell,500,DCAS-PSO,2,600,1,41,0.1301733648294991,0.0,0.5756524080006784
LargeShell500,shell,500,DCAS-PSO,3,600,1,42,0.174966602336775,0.0,0.6862917599992215
LargeShell500,shell,500,DCAS-PSO,4,600,1,41,0.1568830064942917,0.0,0.6017435739995562
LargeShell500,shell,500,DCAS-PSO,5,600,1,43,0.1955379117078076,0.0,0.7096304259994213
LargeShell500,shell,500,DCAS-PSO,6,600,1,41,0.1612676673765766,0.0,0.961411539999972
LargeShell500,shell,500,DCAS-PSO,7,600,1,41,0.1491571835486838,0.0,0.6588436199999705
LargeShell500,shell,500,DCAS-PSO,8,600,1,43,0.1543087391893339,0.0,0.7285869339993951
LargeShell500,shell,500,DCAS-PSO,9,600,1,43,0.149177410827632,0.0,0.6020964580002328
LargeShell500,shell,500,JADE-NCV,0,600,1,111,0.3110819615222698,0.0,0.0733909080008743
LargeShell500,shell,500,JADE-NCV,1,600,1,89,0.314672106039551,0.0,0.0678893339991191
LargeShell500,shell,500,JADE-NCV,2,600,1,190,0.3099705020772323,0.0,0.0695843189987499
LargeShell500,shell,500,JADE-NCV,3,600,1,146,0.3095546631485316,0.0,0.07710982700155
LargeShell500,shell,500,JADE-NCV,4,600,1,140,0.2770795154491762,0.0,0.0744768979984655
LargeShell500,shell,500,JADE-NCV,5,600,1,142,0.3087567034928859,0.0,0.0705045000013342
LargeShell500,shell,500,JADE-NCV,6,600,1,109,0.2913031704307725,0.0,0.0691133290001744
LargeShell500,shell,500,JADE-NCV,7,600,1,222,0.2955049409315585,0.0,0.0709503840007528
LargeShell500,shell,500,JADE-NCV,8,600,1,108,0.2884248026666852,0.0,0.0706233310011157
LargeShell500,shell,500,JADE-NCV,9,600,1,122,0.2713673188626242,0.0,0.0704844470001262
LargeShell500,shell,500,PSO,0,600,1,41,0.3500129636081786,0.0,0.0507132540005841
LargeShell500,shell,500,PSO,1,600,1,42,0.3247559216382585,0.0,0.0410835409984429
LargeShell500,shell,500,PSO,2,600,1,42,0.3216787632670005,0.0,0.0495903239989274
LargeShell500,shell,500,PSO,3,600,1,43,0.3097892900171717,0.0,0.0445023029988078
LargeShell500,shell,500,PSO,4,600,1,41,0.3178992372317247,0.0,0.0403871280013845
LargeShell500,shell,500,PSO,5,600,1,43,0.289628732727662,0.0,0.0378028020004421
LargeShell500,shell,500,PSO,6,600,1,41,0.3533741704006659,0.0,0.0431506850000005
LargeShell500,shell,500,PSO,7,600,1,41,0.3390426584048562,0.0,0.0444299840000894
LargeShell500,shell,500,PSO,8,600,1,43,0.3483144896129174,0.0,0.0429089709996333
LargeShell500,shell,500,PSO,9,600,1,42,0.2973944096544074,0.0,0.042557566999676
LargeChain1000,chain,1000,DCAS-DE,0,600,0,601,inf,8.041585179163116,0.2352652359986677
LargeChain1000,chain,1000,DCAS-DE,1,600,0,601,inf,9.628589108340655,0.2318112100001599
LargeChain1000,chain,1000,DCAS-DE,2,600,0,601,inf,9.437700265526964,0.2396561719997407
LargeChain1000,chain,1000,DCAS-DE,3,600,0,601,inf,9.56147314423789,0.2292476049988181
LargeChain1000,chain,1000,DCAS-DE,4,600,0,601,inf,10.00670657014226,0.2316243149998627
LargeChain1000,chain,1000,DCAS-DE,5,600,0,601,inf,8.729250995157694,0.2318275369998446
LargeChain1000,chain,1000,DCAS-DE,6,600,0,601,inf,8.510639411707619,0.2255333159992005
LargeChain1000,chain,1000,DCAS-DE,7,600,0,601,inf,10.495213228594634,0.2272064789995056
LargeChain1000,chain,1000,DCAS-DE,8,600,0,601,inf,10.444889705506808,0.2123487409990048
LargeChain1000,chain,1000,DCAS-DE,9,600,0,601,inf,8.792780857944598,0.2199567060015397
LargeChain1000,chain,1000,DCAS-PSO,0,600,0,601,inf,12.1115185059687,0.2711790639987157
LargeChain1000,chain,1000,DCAS-PSO,1,600,0,601,inf,16.368397252375324,0.2358534760005568
LargeChain1000,chain,1000,DCAS-PSO,2,600,0,601,inf,13.099016787235811,0.2352361979992565
LargeChain1000,chain,1000,DCAS-PSO,3,600,0,601,inf,7.879598106102213,0.2395076159991731
LargeChain1000,chain,1000,DCAS-PSO,4,600,0,601,inf,13.481682599892393,0.2445117639999807
LargeChain1000,chain,1000,DCAS-PSO,5,600,0,601,inf,14.812718334781186,0.2349705050000921
LargeChain1000,chain,1000,DCAS-PSO,6,600,0,601,inf,10.912834614443776,0.2298730900001828
LargeChain1000,chain,1000,DCAS-PSO,7,600,0,601,inf,17.941513354132972,0.2292767280014231
LargeChain1000,chain,1000,DCAS-PSO,8,600,0,601,inf,16.007451372070264,0.2449140939988865
LargeChain1000,chain,1000,DCAS-PSO,9,600,0,601,inf,9.107886636380709,0.2323731969991058
LargeChain1000,chain,1000,JADE-NCV,0,600,0,601,inf,43.00377467684568,0.0677723870012414
LargeChain1000,chain,1000,JADE-NCV,1,600,0,601,inf,41.57903890215044,0.0681232090009871
LargeChain1000,chain,1000,JADE-NCV,2,600,0,601,inf,38.64346147316944,0.0702071499999874
LargeChain1000,chain,1000,JADE-NCV,3,600,0,601,inf,40.7352381433629,0.0630812920007883
LargeChain1000,chain,1000,JADE-NCV,4,600,0,601,inf,46.85451002867803,0.0677279370011092
LargeChain1000,chain,1000,JADE-NCV,5,600,0,601,inf,43.80726819204509,0.0671611479992861
LargeChain1000,chain,1000,JADE-NCV,6,600,0,601,inf,41.29757520831132,0.0628409669989196
LargeChain1000,chain,1000,JADE-NCV,7,600,0,601,inf,41.5094386294566,0.0627419149986963
LargeChain1000,chain,1000,JADE-NCV,8,600,0,601,inf,38.3675439390315,0.0630846370004292
