problem,dim,method,seed,budget,success,first_feasible,best_f,final_ncv,declared_cost,elapsed_sec
G06,2,DCAS-DE,1,400,1,339,-4508.755346441913,0.0,382.18136234916335,0.6121504929997172
G06,2,DCAS-DE,2,400,1,391,-5892.332104386469,0.0,383.4679927115511,0.5551166750010452
G06,2,DCAS-DE,3,400,0,401,inf,0.0111126995742159,382.26687378624894,0.2707768149994081
G06,2,DCAS-DE,4,400,0,401,inf,0.0099456944245016,383.588271561325,0.1925004329987132
G06,2,DCAS-DE,5,400,0,401,inf,0.004476890069783,383.4312658563056,0.2618583679995936
G06,2,DCAS-DE,6,400,1,278,-6262.397402414937,0.0,380.8342780772088,0.295676239000386
G06,2,DCAS-DE,7,400,1,373,-5291.745166900247,0.0,382.8155278225869,0.2804095089995826
G06,2,DCAS-DE,8,400,1,362,-6560.717864284065,0.0,380.2641359048045,0.2084502739999152
G06,2,DCAS-DE,9,400,1,264,-3375.411740443521,0.0,382.0758477569319,0.3454454610000539
G06,2,DCAS-DE,10,400,0,401,inf,0.0021450670410854,383.26614223809344,0.2744633750007779
G06,2,DCAS-DE,11,400,1,155,-4081.769070224292,0.0,379.7415219895196,0.3260549450005783
G06,2,DCAS-DE,12,400,0,401,inf,0.0011891049287781,382.1921224016663,0.1424943590009206
G06,2,DCAS-DE,13,400,1,288,-6515.66747786114,0.0,381.83316573596994,0.1142903630006912
G06,2,DCAS-DE,14,400,0,401,inf,0.0068515944568354,382.0709392372779,0.1039075320004485
G06,2,DCAS-DE,15,400,1,262,-4414.049765386363,0.0,380.5711469556869,0.109887851998792
G06,2,DCAS-DE,16,400,1,150,-6423.780622886387,0.0,380.0351992642456,0.1623367770007462
G06,2,DCAS-DE,17,400,1,309,-4682.55291269591,0.0,380.81206793665,0.1446874080011184
G06,2,DCAS-DE,18,400,1,263,-6161.8926273865,0.0,382.30579698850863,0.0889386809994903
G06,2,DCAS-DE,19,400,1,288,-5617.399044777633,0.0,380.3276358857442,0.1825853350001125
G06,2,DCAS-DE,20,400,0,401,inf,0.0023084399718503,382.6158240103069,0.1889620300007664
G06,2,DCAS-DE,21,400,1,249,-3660.47024193752,0.0,381.03188207586095,0.1920747210006084
G06,2,DCAS-DE,22,400,1,300,-6244.839909019639,0.0,381.6129041762047,0.2060789899987867
G06,2,DCAS-DE,23,400,1,341,-4542.864469074923,0.0,380.9637413850833,0.3955947710001055
G06,2,DCAS-DE,24,400,0,401,inf,0.0044305377351035,383.52732342986326,0.2331940259991824
G06,2,DCAS-DE,25,400,1,382,-6606.967497146056,0.0,385.0352876608343,0.1610432079996826
G06,2,DCAS-DE,26,400,1,274,-5385.514347492433,0.0,382.2715803904403,0.294136829999843
