kappa,problem,method,seed,success,first_feasible,best_f,final_ncv,declared_cost,structural_gain
1,NarrowCorridor12,UCB-Violation,2,1,128,1.5185628976331362,0.0,397.977491984972,56.71470192119198
5,Annulus10,DCAS,0,1,134,0.4797918224147997,0.0,780.3230379204992,69.75392209126909
5,Annulus10,DCAS,1,1,134,0.08897041877275913,0.0,807.833896326937,67.53390696514359
5,Annulus10,DCAS,2,1,190,0.46930392077968824,0.0,790.7285646414427,65.21676329930662
5,Annulus10,UCB-Success,0,1,90,-0.10671037681902407,0.0,908.6068218938694,73.99158325826735
5,Annulus10,UCB-Success,1,1,174,0.24377450132500314,0.0,842.6262885734556,79.06215882757104
5,Annulus10,UCB-Success,2,1,116,0.02699043807030513,0.0,1071.729866986549,77.5335999266564
5,Annulus10,UCB-Violation,0,1,73,-0.10451611013561474,0.0,823.578513845859,62.9781474224381
5,Annulus10,UCB-Violation,1,1,124,0.20252580800216613,0.0,806.7955708263586,69.13607662801246
5,Annulus10,UCB-Violation,2,1,175,0.028381745294050992,0.0,775.6975619540088,63.10409196148175
5,RotatedBox10,DCAS,0,1,240,4.770478058665187,0.0,791.0345346327356,49.67789940168858
5,RotatedBox10,DCAS,1,1,242,7.182834628100518,0.0,792.768248209098,48.093209352092565
5,RotatedBox10,DCAS,2,1,265,6.33611570528859,0.0,775.2037221031611,48.56083319924276
5,RotatedBox10,UCB-Success,0,1,204,4.929050671041068,0.0,902.3702440570517,62.375067939590124
5,RotatedBox10,UCB-Success,1,1,166,4.117322457090627,0.0,930.667361948545,57.16334871099363
5,RotatedBox10,UCB-Success,2,1,149,5.5976364009453645,0.0,940.9030528161746,59.67887173315729
5,RotatedBox10,UCB-Violation,0,1,233,6.2121377029478175,0.0,755.3240037238905,51.74463127137592
5,RotatedBox10,UCB-Violation,1,1,200,5.244160101072033,0.0,766.8911803148557,48.44079790340252
5,RotatedBox10,UCB-Violation,2,1,245,7.533095013306426,0.0,735.474052193897,52.66997866687566
5,NarrowCorridor12,DCAS,0,1,92,1.281652352438834,0.0,862.0068242516893,50.32475995050842
5,NarrowCorridor12,DCAS,1,1,102,1.07292507431479,0.0,865.3124399388364,50.958364831605294
5,NarrowCorridor12,DCAS,2,1,170,1.6552145288988254,0.0,830.875177169556,51.421869276306474
5,NarrowCorridor12,UCB-Success,0,1,124,0.7951859173615313,0.0,859.8174648508158,68.6930863747305
5,NarrowCorridor12,UCB-Success,1,1,184,1.2370718625163586,0.0,901.8424249470557,66.7393849791779
5,NarrowCorridor12,UCB-Success,2,1,142,1.2066910552132475,0.0,873.0630373723435,59.482344814101026
5,NarrowCorridor12,UCB-Violation,0,1,87,1.0031314759746262,0.0,794.8057866711479,57.18911676398335
5,NarrowCorridor12,UCB-Violation,1,1,137,1.0029509834095487,0.0,780.4558683448066,53.000778174931334
5,NarrowCorridor12,UCB-Violation,2,1,137,1.0148350376197346,0.0,821.119685498971,58.6679623878844
10,Annulus10,DCAS,0,1,115,0.2998234023435303,0.0,1312.5050143150186,67.1266260391832
10,Annulus10,DCAS,1,1,147,0.11363590964605325,0.0,1223.5632870973468,61.654670613383594
10,Annulus10,DCAS,2,1,185,-0.2095393680447924,0.0,1187.4075007016422,63.51690310606707
10,Annulus10,UCB-Success,0,1,90,-0.10671037681902407,0.0,1518.606821893868,73.99158325826735
10,Annulus10,UCB-Success,1,1,174,0.24377450132500314,0.0,1362.6262885734554,79.06215882757104
10,Annulus10,UCB-Success,2,1,116,0.02699043807030513,0.0,1896.7298669865497,77.5335999266564
10,Annulus10,UCB-Violation,0,1,73,0.11502972351031227,0.0,1289.7260159714328,64.47483930667377
